Question	Comment
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"For information regarding public services to be updated quickly and consistently. To make information simple and digestible for the average resident in multiple languages. And for information to be more accessible, especially regarding elections, community input, and relevant city services."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Improve and fund public transportation to allow people to access the city they live in
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	more access to info like mutual aid and having a connected public transport system
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Greater access to transportation and more solar friendly
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Create a ""NYC time square"" like location downtown where you can display all public service data/stats/information on a huge screen, then sell advertising space on the screen to fund the ""time square"" creation. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Improve mobility and equitable distribution of resources
Automate as much as you can so that more time can be spent mindfully living"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I would like to see interactive web dashboards related to public health, transportation data, housing,  crime, etc. City dwellers should be enabled and empowered to make informed decisions with data that is collected by the city. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I'd like to see VIA actually show up on time. I'd also like to see that every bus stop has some sort of shelter so people can wait in the shade instead of this terrible heat. Also, the roads are terrible. Maybe some sort of predictive model can be used to determine which roads in the city are the oldest and some preventative maintenance can be performed."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I would like technology to be used to make San Antonio a better place to live, especially for those living in poverty"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More transparency
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Technology can be used to provide unbiased and in depth information regardless current issues in the city. It can also be used to help those with disabilities become more independent.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Sensors on pubic assets and infrastructure to alert to when repairs and service interruption occurs.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Used in a non complicated way for those less fortunate or unable to get the technology services needed. Mentorship-tutor’s. 
